題目_ID,題目,標準答案,來源文件,answer
1,文中提到台中市2月2日當天的氣溫變化範圍為何？,,,台中市2月2日的氣溫範圍約為 **16 °C 至 23 °C**。
2,Google Cloud 推出的 N4A 虛擬機器採用哪一款處理器？,,,N4A 虛擬機器採用的是 Google 自研的 **Axion 處理器**（基於 Arm Neoverse N3 平台）。
3,根據林氏璧的指出，日本這波流感主要流行哪兩種病毒型別？其占比為何？,,,日本這波流感主要流行 **A型 H3（A/H3N2）** 與 **B型**，其中 A型 H3 占約 **74%**，B型占約 **26%**。
4,LiteRT 的 GPU 加速效能平均比原本的 TensorFlow Lite GPU 委派快多少？,,,LiteRT 的 GPU 加速效能平均約比原本的 TensorFlow Lite GPU 委派快 **1.4 倍**。
5,台灣南部與北部的降雨特徵有何主要差異？,,,"台灣北部：全年都有雨，年雨量約 2,000‑2,500 mm，受東北季風影響，冬季雨量尤多，雨勢較為分散且持續。  
台灣南部：雨量較少，年雨量約 1,500‑2,000 mm，呈「夏雨冬乾」格局，5‑9 月為雨季（西南季風與颱風），10 月至次年 4 月則較乾燥。"
6,Google Cloud 的 N4A 虛擬機器在今年1月底擴增的區域中，包含哪一個亞洲地區？,,,asia-southeast1（新加坡）
7,LiteRT 目前支援哪些平台的 GPU 加速？,,,LiteRT 的 GPU 加速目前支援 **Android、iOS、macOS、Windows、Linux 以及 Web** 平台。
8,根據日本流感疫情報告，東京目前比較流行的區域有哪些？,,,"東京目前較為流行的區域包括：

- 八王子市  
- 町田市  
- 中野區  
- 豐島區  
- 北區  
- 荒川區  
- 江東區"
9,針對台中市2月2日的天氣，文中建議民眾該如何穿著？,,,建議穿輕薄長袖，並備一件薄外套以因應早晚溫差。
10,台灣冬季東北部迎風面多雨，形成「竹風蘭雨」的特色，主要是受到什麼風的影響？,,,主要受到**東北季風**的影響。
